,ind1,ind2,vina_score,Unnamed: 3,smiles,mol,carbonyl,carboxylic acid,primary amine,alcohol,ester,amide,acid halide,fluorine halide,chlorine halide,bromine halide,iodine halide,anhydride,ether,secondary amine,enamine,alene,vinyl,phenol,fluorine,chlorine,Bromine,Iodine
908,910,910,-7.8,DOLUTEGRAVIR,CC1CCOC2N1C(=O)C3=C(C(=O)C(=CN3C2)C(=O)NCC4=C(C=C(C=C4)F)F)O,<rdkit.Chem.rdchem.Mol object at 0x7f562a258030>,2,0,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0
909,911,911,-7.8,ELENBECESTAT,CC1C2CSC(=NC2(CO1)C3=C(C=CC(=C3)NC(=O)C4=NC=C(N=C4)C(F)F)F)N,<rdkit.Chem.rdchem.Mol object at 0x7f562a258080>,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,3,0,0,0
910,912,912,-7.8,ELLAGIC ACID,C1=C2C3=C(C(=C1O)O)OC(=O)C4=CC(=C(C(=C43)OC2=O)O)O,<rdkit.Chem.rdchem.Mol object at 0x7f562a2580d0>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
911,913,913,-7.8,EPLERENONE,CC12CCC(=O)C=C1CC(C3C24C(O4)CC5(C3CCC56CCC(=O)O6)C)C(=O)OC,<rdkit.Chem.rdchem.Mol object at 0x7f562a258120>,3,0,0,0,1,0,3,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0
912,914,914,-7.8,ERTAPENEM,CC1C2C(C(=O)N2C(=C1SC3CC(NC3)C(=O)NC4=CC=CC(=C4)C(=O)O)C(=O)O)C(C)O,<rdkit.Chem.rdchem.Mol object at 0x7f562a258170>,4,2,0,1,0,2,4,0,0,0,0,0,0,1,2,0,2,0,0,0,0,0
913,915,915,-7.8,FARGLITAZAR,CC1=C(N=C(O1)C2=CC=CC=C2)CCOC3=CC=C(C=C3)CC(C(=O)O)NC4=CC=CC=C4C(=O)C5=CC=CC=C5,<rdkit.Chem.rdchem.Mol object at 0x7f562a2581c0>,2,1,0,0,1,0,2,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
914,916,916,-7.8,FENAPERONE,C1CCC(CC1)OC(=O)N2CCN(CC2)CCCC(=O)C3=CC=C(C=C3)F,<rdkit.Chem.rdchem.Mol object at 0x7f562a258210>,2,0,0,0,1,1,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
915,917,917,-7.8,FENEBRUTINIB,CC1CN(CCN1C2=CN=C(C=C2)NC3=CC(=CN(C3=O)C)C4=C(C(=NC=C4)N5CCN6C7=C(CC(C7)(C)C)C=C6C5=O)CO)C8COC8,<rdkit.Chem.rdchem.Mol object at 0x7f562a258260>,1,0,0,1,0,1,1,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0
916,918,918,-7.8,FLESINOXAN,C1CN(CCN1CCNC(=O)C2=CC=C(C=C2)F)C3=C4C(=CC=C3)OC(CO4)CO,<rdkit.Chem.rdchem.Mol object at 0x7f562a2582b0>,1,0,0,1,0,1,1,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0
917,919,919,-7.8,FLUAZACORT,CC1=NC2(C(O1)CC3C2(CC(C4(C3CCC5=CC(=O)C=CC54C)F)O)C)C(=O)COC(=O)C,<rdkit.Chem.rdchem.Mol object at 0x7f562a258300>,3,0,0,1,2,0,3,0,0,0,0,0,2,0,0,0,4,0,1,0,0,0
918,920,920,-7.8,FLUMETHASONE,CC1CC2C3CC(C4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C)F,<rdkit.Chem.rdchem.Mol object at 0x7f562a258350>,2,0,0,3,2,0,2,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0
919,921,921,-7.8,FLUOCINONIDE,CC(=O)OCC(=O)C12C(CC3C1(CC(C4(C3CC(C5=CC(=O)C=CC54C)F)F)O)C)OC(O2)(C)C,<rdkit.Chem.rdchem.Mol object at 0x7f562a2583a0>,3,0,0,1,2,0,3,0,0,0,0,0,3,0,0,0,4,0,2,0,0,0
920,922,922,-7.8,FLUOCORTOLONE CAPROATE,CCCCCC(=O)OCC(=O)C1C(CC2C1(CC(C3C2CC(C4=CC(=O)C=CC34C)F)O)C)C,<rdkit.Chem.rdchem.Mol object at 0x7f562a2583f0>,3,0,0,1,2,0,3,0,0,0,0,0,1,0,0,0,4,0,1,0,0,0
921,923,923,-7.8,FLUOROFURANYLNORPROGESTERONE,CC12CCC3C(C1CC4C2(OC(O4)C5=CC=CO5)C(=O)CF)CCC6=CC(=O)CCC36,<rdkit.Chem.rdchem.Mol object at 0x7f562a258440>,2,0,0,0,2,0,2,0,0,0,0,0,2,0,0,0,2,0,1,0,0,0
922,924,924,-7.8,FOLIGLURAX,C1COCCN1CCCC2=CC3=C(C=C2)OC(=CC3=NO)C4=NC=C5C=CSC5=C4,<rdkit.Chem.rdchem.Mol object at 0x7f562a258490>,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
923,925,925,-7.8,FOSDAGROCORAT,CC1=C(C=CC=N1)NC(=O)C2=CC3=C(C=C2)C4(CCC(CC4CC3)(C(F)(F)F)OP(=O)(O)O)CC5=CC=CC=C5,<rdkit.Chem.rdchem.Mol object at 0x7f562a2584e0>,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0
924,926,926,-7.8,FOSTEMSAVIR,CC1=NN(C=N1)C2=NC=C(C3=C2N(C=C3C(=O)C(=O)N4CCN(CC4)C(=O)C5=CC=CC=C5)COP(=O)(O)O)OC,<rdkit.Chem.rdchem.Mol object at 0x7f562a258530>,3,0,0,0,1,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
925,927,927,-7.8,FURCLOPROFEN,CC(C1=CC2=C(C=C1)C3=C(O2)C=CC(=C3)Cl)C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x7f562a258580>,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
926,928,928,-7.8,GANETESPIB,CC(C)C1=C(C=C(C(=C1)C2=NNC(=O)N2C3=CC4=C(C=C3)N(C=C4)C)O)O,<rdkit.Chem.rdchem.Mol object at 0x7f562a2585d0>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
927,929,929,-7.8,GAVESTINEL,C1=CC=C(C=C1)NC(=O)C=CC2=C(NC3=C2C(=CC(=C3)Cl)Cl)C(=O)[O-].[Na+],<rdkit.Chem.rdchem.Mol object at 0x7f562a258620>,2,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,2,0,0,2,0,0
928,930,930,-7.8,GOLVATINIB,CN1CCN(CC1)C2CCN(CC2)C(=O)NC3=NC=CC(=C3)OC4=CC(=C(C=C4)NC(=O)C5(CC5)C(=O)NC6=CC=C(C=C6)F)F,<rdkit.Chem.rdchem.Mol object at 0x7f562a258670>,3,0,0,0,0,4,3,0,0,0,0,0,1,0,3,0,0,0,2,0,0,0
929,931,931,-7.8,GOSOGLIPTIN,C1CN(CC1(F)F)C(=O)C2CC(CN2)N3CCN(CC3)C4=NC=CC=N4,<rdkit.Chem.rdchem.Mol object at 0x7f562a2586c0>,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0
930,932,932,-7.8,GREPAFLOXACIN,CC1CN(CCN1)C2=C(C(=C3C(=C2)N(C=C(C3=O)C(=O)O)C4CC4)C)F,<rdkit.Chem.rdchem.Mol object at 0x7f562a258710>,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
931,933,933,-7.8,GS 6201,CCCN1C(=O)C2=C(N=C(N2)C3=CN(N=C3)CC4=CC(=CC=C4)C(F)(F)F)N(C1=O)CC,<rdkit.Chem.rdchem.Mol object at 0x7f562a258760>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
932,934,934,-7.8,GSK-2018682,CC(C)OC1=C(C=C(C=N1)C2=NC(=NO2)C3=C4C=CN(C4=CC=C3)CCCC(=O)O)Cl,<rdkit.Chem.rdchem.Mol object at 0x7f562a2587b0>,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
933,935,935,-7.8,GW590735,CC1=C(SC(=N1)C2=CC=C(C=C2)C(F)(F)F)C(=O)NCC3=CC=C(C=C3)OC(C)(C)C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x7f562a258800>,2,1,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0
934,936,936,-7.8,HESPERIDIN,CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=CC(=C4C(=O)CC(OC4=C3)C5=CC(=C(C=C5)OC)O)O)O)O)O)O)O)O,<rdkit.Chem.rdchem.Mol object at 0x7f562a258850>,1,0,0,6,1,0,1,0,0,0,0,0,6,0,0,0,0,4,0,0,0,0
935,937,937,-7.8,IDELALISIB,CCC(C1=NC2=C(C(=CC=C2)F)C(=O)N1C3=CC=CC=C3)NC4=NC=NC5=C4NC=N5,<rdkit.Chem.rdchem.Mol object at 0x7f562a2588a0>,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
936,938,938,-7.8,IMIGLITAZAR,CC1=C(N=C(O1)C2=CC=CC=C2)COC3=CC=C(C=C3)CON=C(CCC(=O)O)C4=CC=CC=C4,<rdkit.Chem.rdchem.Mol object at 0x7f562a2588f0>,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
937,939,939,-7.8,INARIGIVIR,COC1C(C(OC1N2C=CC(=O)NC2=O)CO)OP(=S)(O)OCC3C(CC(O3)N4C=NC5=C(N=CN=C54)N)O,<rdkit.Chem.rdchem.Mol object at 0x7f562a258940>,0,0,1,2,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0
938,940,940,-7.8,INDINAVIR,CC(C)(C)NC(=O)C1CN(CCN1CC(CC(CC2=CC=CC=C2)C(=O)NC3C(CC4=CC=CC=C34)O)O)CC5=CN=CC=C5,<rdkit.Chem.rdchem.Mol object at 0x7f562a258990>,2,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
939,941,941,-7.8,INTOPLICINE,CC1=CN=C(C2=C1NC3=C2C4=C(C=C3)C=C(C=C4)O)NCCCN(C)C,<rdkit.Chem.rdchem.Mol object at 0x7f562a2589e0>,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0
940,942,942,-7.8,IPSAPIRONE,C1CN(CCN1CCCCN2C(=O)C3=CC=CC=C3S2(=O)=O)C4=NC=CC=N4,<rdkit.Chem.rdchem.Mol object at 0x7f562a258a30>,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
941,943,943,-7.8,ISOQUERCETIN,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)CO)O)O)O)O)O,<rdkit.Chem.rdchem.Mol object at 0x7f562a258a80>,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,8,0,0,0,0
942,944,944,-7.8,ISOXAFLUTOLE,CS(=O)(=O)C1=C(C=CC(=C1)C(F)(F)F)C(=O)C2=C(ON=C2)C3CC3,<rdkit.Chem.rdchem.Mol object at 0x7f562a258ad0>,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
943,945,945,-7.8,ITX-5061,CC(C)(C)C1=CC(=C(C(=C1)NS(=O)(=O)C)OC)NC(=O)C(=O)C2=CC=C(C3=CC=CC=C32)OCCN4CCOCC4.Cl,<rdkit.Chem.rdchem.Mol object at 0x7f562a258b20>,2,0,0,0,1,1,2,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0
944,946,946,-7.8,JI-101,COC1=C(C=C(C=C1)Br)NC(=O)NC2=C3C=CN(C3=CC=C2)CC4=CC(=NC=C4)N,<rdkit.Chem.rdchem.Mol object at 0x7f562a258b70>,1,0,1,0,0,2,1,0,0,0,0,0,1,1,3,0,0,0,0,0,1,0
945,947,947,-7.8,KETANSERIN,C1CN(CCC1C(=O)C2=CC=C(C=C2)F)CCN3C(=O)C4=CC=CC=C4NC3=O,<rdkit.Chem.rdchem.Mol object at 0x7f562a258bc0>,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
946,948,948,-7.8,LETAXABAN,C1CNC(=O)N(C1)C2CCN(CC2)C(=O)C(CS(=O)(=O)C3=CC4=C(C=C3)C=C(C=C4)Cl)O,<rdkit.Chem.rdchem.Mol object at 0x7f562a258c10>,2,0,0,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
947,958,958,-7.8,MONTELUKAST,CC(C)(C1=CC=CC=C1CCC(C2=CC=CC(=C2)C=CC3=NC4=C(C=CC(=C4)Cl)C=C3)SCC5(CC5)CC(=O)O)O,<rdkit.Chem.rdchem.Mol object at 0x7f562a258c60>,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0
948,959,959,-7.8,NESAPIDIL,CC1=NN=C(O1)C2=CC(=CC=C2)OCC(CN3CCN(CC3)C4=CC=CC=C4OC)O,<rdkit.Chem.rdchem.Mol object at 0x7f562a258cb0>,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0
949,960,960,-7.8,NICOFURANOSE,C1=CC(=CN=C1)C(=O)OCC2C(C(C(O2)(COC(=O)C3=CN=CC=C3)O)OC(=O)C4=CN=CC=C4)OC(=O)C5=CN=CC=C5,<rdkit.Chem.rdchem.Mol object at 0x7f562a258d00>,4,0,0,1,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
950,961,961,-7.8,NOP-1A,CNC(=O)C(CC1=CC=CC=C1F)CN2CCC3(CC2)C4=C(CCO3)C=C(S4)F,<rdkit.Chem.rdchem.Mol object at 0x7f562a258d50>,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0
951,962,962,-7.8,OBICETRAPIB,CCC1CC(C2=C(N1C(=O)OCC)C=CC(=C2)C(F)(F)F)N(CC3=CC(=CC(=C3)C(F)(F)F)C(F)(F)F)C4=NC=C(C=N4)OCCCC(=O)O,<rdkit.Chem.rdchem.Mol object at 0x7f562a258da0>,2,1,0,0,0,1,2,0,0,0,0,0,2,0,1,0,0,0,9,0,0,0
952,963,963,-7.8,OCHROMYCINONE,CC1CC2=C(C(=O)C1)C3=C(C=C2)C(=O)C4=C(C3=O)C=CC=C4O,<rdkit.Chem.rdchem.Mol object at 0x7f562a258df0>,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
953,964,964,-7.8,OMTRIPTOLIDE,CC(C)C12C(O1)C3C4(O3)C5(CCC6=C(C5CC7C4(C2OC(=O)CCC(=O)O)O7)COC6=O)C,<rdkit.Chem.rdchem.Mol object at 0x7f562a258e40>,3,1,0,0,0,0,3,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0
954,965,965,-7.8,ONTAZOLAST,CC1=CC2=C(C=C1)OC(=N2)NC(CC3CCCCC3)C4=CC=CC=N4,<rdkit.Chem.rdchem.Mol object at 0x7f562a258e90>,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
955,966,966,-7.8,OXYPHENISATIN ACETATE,CC(=O)OC1=CC=C(C=C1)C2(C3=CC=CC=C3NC2=O)C4=CC=C(C=C4)OC(=O)C,<rdkit.Chem.rdchem.Mol object at 0x7f562a258ee0>,3,0,0,0,0,1,3,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0
956,967,967,-7.8,PALIPERIDONE,CC1=C(C(=O)N2CCCC(C2=N1)O)CCN3CCC(CC3)C4=NOC5=C4C=CC(=C5)F,<rdkit.Chem.rdchem.Mol object at 0x7f562a258f30>,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
957,968,968,-7.8,PANADIPLON,CC(C)N1C2=CC=CC=C2N3C=NC(=C3C1=O)C4=NOC(=N4)C5CC5,<rdkit.Chem.rdchem.Mol object at 0x7f562a258f80>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
958,969,969,-7.8,PERBUFYLLINE,CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CCCCN3CCC(CC3)C(=O)C4=CC=C(C=C4)F,<rdkit.Chem.rdchem.Mol object at 0x7f562a259030>,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
959,970,970,-7.8,PERFLUNAFENE,C12(C(C(C(C(C1(F)F)(F)F)(F)F)(F)F)(C(C(C(C2(F)F)(F)F)(F)F)(F)F)F)F,<rdkit.Chem.rdchem.Mol object at 0x7f562a259080>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0
960,971,971,-7.8,PEROSPIRONE,C1CCC2C(C1)C(=O)N(C2=O)CCCCN3CCN(CC3)C4=NSC5=CC=CC=C54,<rdkit.Chem.rdchem.Mol object at 0x7f562a2590d0>,2,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
961,972,972,-7.8,PF-00217830,C1CC(=O)NC2=C1C=CC(=N2)OCCCCN3CCN(CC3)C4=CC=CC5=CC=CC=C54,<rdkit.Chem.rdchem.Mol object at 0x7f562a259120>,1,0,0,0,0,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0
962,973,973,-7.8,PINOXEPIN,C1CN(CCN1CCC=C2C3=CC=CC=C3COC4=C2C=C(C=C4)Cl)CCO,<rdkit.Chem.rdchem.Mol object at 0x7f562a259170>,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0
963,974,974,-7.8,PIRAGLIATIN,CS(=O)(=O)C1=C(C=C(C=C1)C(CC2CCC(=O)C2)C(=O)NC3=NC=CN=C3)Cl,<rdkit.Chem.rdchem.Mol object at 0x7f562a2591c0>,2,0,0,0,1,1,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
964,975,975,-7.8,PIROXICAM CINNAMATE,CN1C(=C(C2=CC=CC=C2S1(=O)=O)OC(=O)C=CC3=CC=CC=C3)C(=O)NC4=CC=CC=N4,<rdkit.Chem.rdchem.Mol object at 0x7f562a259210>,2,0,0,0,0,1,2,0,0,0,0,0,1,0,2,0,4,0,0,0,0,0
965,976,976,-7.8,REPINOTAN,C1CC2=CC=CC=C2OC1CNCCCCN3C(=O)C4=CC=CC=C4S3(=O)=O,<rdkit.Chem.rdchem.Mol object at 0x7f562a259260>,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
966,977,977,-7.8,RETAGLIPTIN,COC(=O)C1=C2CN(CCN2C(=N1)C(F)(F)F)C(=O)CC(CC3=CC(=C(C=C3F)F)F)N,<rdkit.Chem.rdchem.Mol object at 0x7f562a2592b0>,2,0,1,0,0,1,2,0,0,0,0,0,1,1,0,0,0,0,6,0,0,0
967,978,978,-7.8,RIPISARTAN,CCCC1=C(C2=NC(=O)NN2C(=N1)C)CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5,<rdkit.Chem.rdchem.Mol object at 0x7f562a259300>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
968,979,979,-7.8,RISDIPLAM,CC1=CC(=NN2C1=NC(=C2)C)C3=CC(=O)N4C=C(C=CC4=N3)N5CCNC6(C5)CC6,<rdkit.Chem.rdchem.Mol object at 0x7f562a259350>,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
969,980,980,-7.8,RUXOLITINIB,C1CCC(C1)C(CC#N)N2C=C(C=N2)C3=C4C=CNC4=NC=N3,<rdkit.Chem.rdchem.Mol object at 0x7f562a2593a0>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
970,981,981,-7.8,SAPITINIB,CNC(=O)CN1CCC(CC1)OC2=C(C=C3C(=C2)C(=NC=N3)NC4=C(C(=CC=C4)Cl)F)OC,<rdkit.Chem.rdchem.Mol object at 0x7f562a2593f0>,1,0,0,0,0,1,1,0,0,0,0,0,2,1,2,0,0,0,1,1,0,0
971,982,982,-7.8,SARAKALIM,CC(=O)N(CC1=C(C2=C(C=CC(=C2)C(F)(F)F)OC1(C)C)N3C=CC=CC3=O)O,<rdkit.Chem.rdchem.Mol object at 0x7f562a259440>,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,2,0,3,0,0,0
972,983,983,-7.8,SAREDUTANT,CC(=O)NC1(CCN(CC1)CCC(CN(C)C(=O)C2=CC=CC=C2)C3=CC(=C(C=C3)Cl)Cl)C4=CC=CC=C4,<rdkit.Chem.rdchem.Mol object at 0x7f562a259490>,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
973,984,984,-7.8,SEPERIDOL,C1CN(CCC1(C2=CC(=C(C=C2)Cl)C(F)(F)F)O)CCCC(=O)C3=CC=C(C=C3)F,<rdkit.Chem.rdchem.Mol object at 0x7f562a2594e0>,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0
974,985,985,-7.8,SERAZAPINE,CN1CCN2C(C1)C3=C(C4=CC=CC=C4N3CC5=CC=CC=C52)C(=O)OC,<rdkit.Chem.rdchem.Mol object at 0x7f562a259530>,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
975,986,986,-7.8,SERTINDOLE,C1CN(CCC1C2=CN(C3=C2C=C(C=C3)Cl)C4=CC=C(C=C4)F)CCN5CCNC5=O,<rdkit.Chem.rdchem.Mol object at 0x7f562a259580>,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
976,987,987,-7.8,SEVITERONEL,CC(C)C(C1=CC2=CC(=C(C=C2C=C1)OC(F)F)OC(F)F)(C3=NNN=C3)O,<rdkit.Chem.rdchem.Mol object at 0x7f562a2595d0>,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0
977,988,988,-7.8,SILICRISTIN,COC1=C(C=CC(=C1)C2C(C3=C(O2)C(=CC(=C3)C4C(C(=O)C5=C(C=C(C=C5O4)O)O)O)O)CO)O,<rdkit.Chem.rdchem.Mol object at 0x7f562a259620>,1,0,0,2,1,0,1,0,0,0,0,0,3,0,0,0,0,8,0,0,0,0
978,989,989,-7.8,SIMOTINIB,COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)F)Cl)OCCN4CC5(CC5)C6(C4)OCCO6,<rdkit.Chem.rdchem.Mol object at 0x7f562a259670>,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,0,0,0,1,1,0,0
979,990,990,-7.8,SONEDENOSON,C1=CC(=CC=C1CCOC2=NC(=C3C(=N2)N(C=N3)C4C(C(C(O4)CO)O)O)N)Cl,<rdkit.Chem.rdchem.Mol object at 0x7f562a2596c0>,0,0,1,3,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,1,0,0
980,991,991,-7.8,SPICLOMAZINE,C1CN(CCC12NC(=O)CS2)CCCN3C4=CC=CC=C4SC5=C3C=C(C=C5)Cl,<rdkit.Chem.rdchem.Mol object at 0x7f562a259710>,1,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0
981,992,992,-7.8,SPIRORENONE,CC12CCC3C(C1C4CC4C25CCC(=O)O5)C6CC6C7=CC(=O)C=CC37C,<rdkit.Chem.rdchem.Mol object at 0x7f562a259760>,2,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0
982,993,993,-7.8,SPIROXATRINE,C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CC4COC5=CC=CC=C5O4,<rdkit.Chem.rdchem.Mol object at 0x7f562a2597b0>,1,0,0,0,0,1,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0
983,994,994,-7.8,SULAZURIL,CN1CC(=O)NC(=O)N1C2=CC(=C(C(=C2)Cl)OC3=CC=C(C=C3)S(=O)(=O)C)Cl,<rdkit.Chem.rdchem.Mol object at 0x7f562a259800>,2,0,0,0,0,3,2,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0
984,995,995,-7.8,TAK-285,CC(C)(CC(=O)NCCN1C=CC2=C1C(=NC=N2)NC3=CC(=C(C=C3)OC4=CC=CC(=C4)C(F)(F)F)Cl)O,<rdkit.Chem.rdchem.Mol object at 0x7f562a259850>,1,0,0,1,0,1,1,0,0,0,0,0,1,1,2,0,0,0,3,1,0,0
985,996,996,-7.8,TALAZOPARIB,CN1C(=NC=N1)C2C(NC3=CC(=CC4=C3C2=NNC4=O)F)C5=CC=C(C=C5)F,<rdkit.Chem.rdchem.Mol object at 0x7f562a2598a0>,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0
986,997,997,-7.8,TALTIRELIN,CN1C(=O)CC(NC1=O)C(=O)NC(CC2=CN=CN2)C(=O)N3CCCC3C(=O)N,<rdkit.Chem.rdchem.Mol object at 0x7f562a2598f0>,5,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
987,998,998,-7.8,TANSHINONE IIA SULFONATE,CC1=C(OC2=C1C(=O)C(=O)C3=C2C=CC4=C3CCCC4(C)C)S(=O)(=O)[O-],<rdkit.Chem.rdchem.Mol object at 0x7f562a259940>,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
988,999,999,-7.8,TECASTEMIZOLE,C1CNCCC1NC2=NC3=CC=CC=C3N2CC4=CC=C(C=C4)F,<rdkit.Chem.rdchem.Mol object at 0x7f562a259990>,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0
989,1000,1000,-7.8,TEFLUDAZINE,C1CN(CCN1CCO)C2CC(C3=C2C=C(C=C3)C(F)(F)F)C4=CC=C(C=C4)F,<rdkit.Chem.rdchem.Mol object at 0x7f562a2599e0>,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
990,1001,1001,-7.8,TEFLUTIXOL,C1CN(CCN1CCCC2C3=C(C=C(C=C3)F)SC4=C2C=C(C=C4)C(F)(F)F)CCO,<rdkit.Chem.rdchem.Mol object at 0x7f562a259a30>,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
991,1002,1002,-7.8,TELCAGEPANT,C1CC(C(=O)N(CC1C2=C(C(=CC=C2)F)F)CC(F)(F)F)NC(=O)N3CCC(CC3)N4C5=C(NC4=O)N=CC=C5,<rdkit.Chem.rdchem.Mol object at 0x7f562a259a80>,2,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
992,1003,1003,-7.8,TEMAROTENE,CC(=CC1=CC=CC=C1)C2=CC3=C(C=C2)C(CCC3(C)C)(C)C,<rdkit.Chem.rdchem.Mol object at 0x7f562a259ad0>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
993,1004,1004,-7.8,TENELIGLIPTIN,CC1=NN(C(=C1)N2CCN(CC2)C3CC(NC3)C(=O)N4CCSC4)C5=CC=CC=C5,<rdkit.Chem.rdchem.Mol object at 0x7f562a259b20>,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
